id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
19091,Fully Furnished Cozy Apartment,72880,1462508440733970087,John,,Leonidas,29.961,-90.1195,Entire home/apt,137,1,528,2026-03-02,2.72,1,296,24,"25-NSTR-11772, 25-OSTR-11151"
71624,Ravenwood Manor (Historic Bywater),367223,1462516728563088529,Susan,,Bywater,29.96153,-90.04364,Entire home/apt,166,30,316,2025-05-07,1.72,1,365,2,"21-RSTR-18609, 22-OSTR-20720"
74498,Maison Marais 1,391462,1462517255963179494,Georgia,,St. Roch,29.96986,-90.05172,Entire home/apt,184,3,679,2026-03-02,3.71,3,216,27,23-XSTR-13082
79536,FeelAtHomeInNewOrleans-PrivateApt,428362,1462518158480805632,Miriam,,Seventh Ward,29.97803,-90.0745,Entire home/apt,110,3,834,2026-03-10,4.60,1,21,63,"23-NSTR-15067, 25-OSTR-41594"
79609,Bywater's Original & Finest,428909,1462511770194685886,Stephen,,St. Claude,29.96448,-90.03667,Entire home/apt,61,30,505,2025-03-05,2.76,1,169,0,"23-ISTR-02823, 23-OSTR-02823"
80869,"Frenchmen House ""Red Room""",437783,1462518419771353377,Joanne,,Marigny,29.96811,-90.05905,Private room,97,1,1027,2026-03-04,5.63,2,177,53,24-XSTR-08500
84725,Historic UPTOWN NEW ORLEANS Resort,85132,1462509229094456758,Sanford Sandy,,Central City,29.93608,-90.07997,Private room,352,30,5,2016-01-01,0.03,7,365,0,Exempt
90806,Mid-city.  The heart of New Orleans,485705,1462519572063183486,Tom,,Mid-City,29.97264,-90.09992,Entire home/apt,75,30,145,2026-01-07,0.82,1,324,1,
183207,"Frenchmen House ""Rose Room""",437783,1462518419771353377,Joanne,,Marigny,29.96811,-90.05905,Private room,97,1,956,2026-03-03,5.42,2,167,49,24-XSTR-08500
204998,Hilaire Suite - 2 Bed 2.5 Bath near French Quarter,1006034,1462515645224879270,Gwendolyn,,Treme - Lafitte,29.9678,-90.06675,Entire home/apt,107,30,207,2022-09-05,1.18,4,180,0,"19STR-26370, 19-OSTR-2637"
205008,Muse Suite- Near French Quarter,1006034,1462515645224879270,Gwendolyn,,Treme - Lafitte,29.96719,-90.07033,Entire home/apt,160,30,290,2022-11-01,1.65,4,180,0,"19STR-26373, 19-OSTR-2637"
228560,Boheme de Marigny - Historic Creole Cottage,1192986,1462539353115040287,Dayna,,Marigny,29.96524,-90.05901,Entire home/apt,645,2,136,2026-02-16,1.04,2,60,7,23-XSTR-12077
240258,Maison Marais 2,391462,1462517255963179494,Georgia,,St. Roch,29.96929,-90.05172,Entire home/apt,333,3,634,2026-03-02,3.62,3,287,24,23-XSTR-13082
259868,AUTHENTIC NEW ORLEANS HOME!!!!!!!,1363780,1462543801771703993,Deborah,,Treme - Lafitte,29.97307,-90.07671,Entire home/apt,328,30,148,2025-05-05,0.86,2,365,2,"21-CSTR-19544, 22-OSTR-08384"
314233,Historic pied-à-terre on Esplanade,1182408,1462539103996714863,Lauren,,Marigny,29.96611,-90.06146,Entire home/apt,149,30,80,2020-03-18,0.47,1,364,0,
317793,"Algiers Point, New Orleans LA - Funky NOLA Digs",1631225,1462563590564059871,Seran,,Whitney,29.94995,-90.04538,Entire home/apt,93,30,13,2023-03-13,0.08,1,364,0,
405209,Historic Tremé Creole Cottage w/pool,2019341,1462521706691853610,Historic Getaways,,Treme - Lafitte,29.965829849243164,-90.06376647949219,Entire home/apt,370,1,218,2026-03-02,1.62,32,287,33,23-XSTR-11592
406652,Near bustling Magazine St w/BIKES!,2026099,1462584485650067896,Conor,,St. Thomas Dev,29.92302,-90.07285,Entire home/apt,171,30,182,2024-10-26,1.08,1,254,0,"23STR-08837, 23-OSTR-08837"
425878,Bayou St. John Cottage!,1919429,1462581752472364373,Kristin,,Bayou St. John,29.975841522216797,-90.0870361328125,Entire home/apt,114,30,53,2025-05-05,0.36,1,358,2,"24-NSTR-10576, 24-OSTR-10576"
458029,Oak Street Hangout...,2277128,1462590840639489903,Paul,,Leonidas,29.94844,-90.13186,Entire home/apt,52,30,95,2025-06-27,0.58,1,159,2,
542247,"10 min to Bourbon St, 5 min to the SuperDome.",2156820,1462522554219931888,J. Cristo,,Broadmoor,29.946689853433014,-90.10075887298348,Entire home/apt,311,2,167,2026-03-09,1.02,1,123,13,"23-nstr-18619, 26-OSTR-05019"
561833,Half Okra Inn Iberville- Historic Mid City Retreat,2707644,1462525833948215141,Lindsay,,Mid-City,29.974992752075195,-90.09910583496094,Entire home/apt,202,1,166,2026-03-15,1.03,8,198,48,"21-CSTR-08128, 20-OSTR-02677"
596455,"Beautiful, Bywater Home",518748,1462520555543595976,Rachel,,Bywater,29.96491,-90.04403,Entire home/apt,99,30,48,2024-09-02,0.29,1,196,0,
648129,Beautiful Efficiency Apartment,2383859,1462593638492393049,Brian,,City Park,29.98282,-90.09417,Entire home/apt,100,30,117,2020-02-24,0.72,1,57,0,18STR-16510
684584,Ride the Streetcar to the French Quarter!,2176992,1462588331036845301,Erin,,Mid-City,29.96658,-90.09607,Private room,131,1,1315,2026-02-25,7.99,1,166,141,"23-NSTR-17387, 25-OSTR-15014"
701364,Sky Loft Bywater-Marigny - K Bed Balcony Driveway,2671376,1462604453651458910,Ruby Dee,,St. Roch,29.97036,-90.05007,Entire home/apt,136,3,315,2026-02-25,1.94,2,85,16,"23-NSTR-17825, 25-OSTR-07158"
708852,studio unit 3 New Orleans,103427,1462509666363222459,Jacqueline M,,Lower Garden District,29.93396,-90.08066,Entire home/apt,272,30,0,,,2,90,0,Exempt
718256,Rumahku De New Orleans,1340014,1462543204416587715,Susanna,,Fillmore,30.00784,-90.08124,Entire home/apt,177,1,418,2026-03-08,2.63,1,132,22,"24-NSTR-10932, 23-OSTR-12561"
755827,Stay by the river in the safe & historic Bywater,3978674,1462644112252009072,Carmen,,Bywater,29.96056,-90.03423,Entire home/apt,158,3,672,2026-03-10,4.13,1,114,41,"23-NSTR-15629, 23-OSTR-14447"
780112,Large Apt Bayou St John/City Park 3 miles to Dome,3233663,1462623397593210408,Julie,,Bayou St. John,29.97728,-90.08278,Entire home/apt,236,30,97,2022-04-22,0.61,1,269,0,
786938,Historic home near FQ/outdoor oasis,978875,1462515485192844059,Gianna,,Seventh Ward,29.97478,-90.07634,Entire home/apt,620,2,183,2026-03-02,1.15,1,341,7,"25-NSTR-01981, 25-OSTR-01876"
812536,"Downtown Views, Garden District, Streetcar",4271460,1462652256673514341,Christian,,Central City,29.93616,-90.08231,Entire home/apt,200,2,68,2026-01-04,0.43,5,59,3,23-XSTR-11145
812675,Luxe Garden District Balcony Views,4271460,1462652256673514341,Christian,,Central City,29.935006370033513,-90.08173553236517,Entire home/apt,200,2,85,2026-02-23,0.53,5,44,4,23-XSTR-11145
829933,"King rm @ Huckabuck Village, Treme",3849334,1462640960116978430,Liberty,,Treme - Lafitte,29.96949,-90.07396,Private room,40,30,156,2026-02-17,0.97,1,177,2,"19RSTR-26556, 21-OSTR-08891"
845309,Fab Frenchmen Maison on the Park,4413148,1462656831975306830,Deborah,,Marigny,29.96609,-90.05718,Entire home/apt,531,30,169,2021-05-03,1.06,1,365,0,"19STR-08005, 20-OSTR-0809"
851999,Fab Apt with Perfect Park Porch,4448274,1462657769556761704,Carolee,,Leonidas,29.95565,-90.12383,Entire home/apt,63,31,115,2026-01-05,0.72,2,254,3,
872905,"City Park, Mid City, Safe area near Streetcar Stop",4606010,1462661377488140581,Monica,,City Park,29.98148,-90.09697,Entire home/apt,85,30,57,2024-09-07,0.36,1,321,0,
873413,Mansion in the Garden District,4271460,1462652256673514341,Christian,,Central City,29.935006370033513,-90.08173553236517,Entire home/apt,640,2,79,2025-11-09,0.49,5,59,1,23-XSTR-11145
882473,Historic Apt in Magical Marigny,4669579,1462662882804159381,Mary,,Marigny,29.96712,-90.05075,Entire home/apt,99,30,210,2025-03-09,1.31,1,268,0,"19STR-00000, 19-OSTR-0000"
885246,HUGE Historic Warehouse District Condo,4690952,1462663373484366321,Ashley,,Central Business District,29.94499,-90.07222,Entire home/apt,184,30,9,2022-12-31,0.07,1,352,0,19STR-12961
890508,Magazine St. Charm - Safe Area,4728090,1462664257441584634,Roberto,,Uptown,29.9205,-90.10807,Entire home/apt,253,30,28,2019-05-27,0.19,1,365,0,"18STR-16423, 20-OSTR-02857"
895626,"Walk to Tulane, The Purple Room of the Treehouse",4772370,1462537208235108449,Laurie,,Audubon,29.93823,-90.11176,Private room,126,1,362,2026-03-08,2.27,1,98,25,"23-NSTR-14182, 24-OSTR-21273"
896343,#1 Beautiful 2-BR Suite Uptown/Audubon Riverside,4778949,1462665209570075059,Robert,,West Riverside,29.92048,-90.12346,Entire home/apt,322,3,43,2024-04-08,0.29,3,229,0,"24-NSTR-10773, 24-OSTR-10760"
896501,#2 Perfect 2BR Audubon Suite,4778949,1462665209570075059,Robert,,Audubon,29.92345,-90.12261,Entire home/apt,147,30,35,2025-10-26,0.23,3,240,1,"24-NSTR-10773, 24-OSTR-10760"
896709,Modern Home Near French Quarter,4782391,1462537248175434402,Marc,,Treme - Lafitte,29.97258,-90.07539,Entire home/apt,317,30,50,2020-02-23,0.31,1,364,0,
898632,TulaneUniv/Pool-3 ppl+if family-StrictlyNO parties,4370699,1462655113227686849,Deborah,,Audubon,29.94574,-90.11839,Entire home/apt,400,1,109,2026-02-09,0.68,1,212,11,"23-NSTR-15126, 24-OSTR-04228"
900337,2 Bedroom Suite in Uptown New Orleans,4807949,1462665834887502709,Judith,,Uptown,29.92074,-90.1069,Entire home/apt,314,3,27,2025-03-16,0.17,1,226,0,"23-NSTR-15847, 24-OSTR-03329"
